clause_text,clause_type,domain
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
No party shall disclose the terms or financial details of this transaction to any third party without written consent.,Confidentiality,NDA/Confidentiality
"In accordance with items 9.3, 9.4, and 10.3, this Contract shall come into      force on the Effective Date, remain effective throughout the Initial Term,      and be prolonged, or further extended automatically for a period of 12





     months, each such extension commencing at the end of the last day of the      Initial Term or the relevant anniversary thereof, unless either Party      serves written notice of termination on the other Party at least 65 days      prior to the end of the Initial Term, or any subsequent extension.",Notice Period / Termination,Original Corporate
"The software warranty period shall be one year, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
"If IGER receives an exclusive license from Defra rather  than an assignment of rights, the following will apply.

18.1 To the extent the license grant to CERES on IGER BACKGROUND INTELLECTUAL PROPERTY in Article 5.3.2 relates to IGER  BACKGROUND INTELLECTUAL PROPERTY that constitutes Intellectual Property to which rights vest in Defra or the Crown or the Secretary  of State, the word ""license"" will be read as ""sublicense"" and all other terms of such Article will remain unchanged.

18.2 To the extent that IGER INTELLECTUAL PROPERTY or JOINT INTELLECTUAL PROPERTY created in a RESEARCH PROJECT  constitutes or includes Intellectual Property to which rights vest in Defra or the Crown or the Secretary of State, any conveyance or grant of  rights or licenses by IGER to CERES in this Agreement with respect to such IGER INTELLECTUAL PROPERTY or JOINT INTELLECTUAL  PROPERTY, will be read as the grant of an exclusive sublicense under IGER's exclusive license from Defra.",Exclusivity,Original Corporate
"The Stamp Duty and registration charges of INR 48,000 shall be borne entirely by the Purchaser.",Stamp Duty & Registration,Property
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
Either Party may terminate this Agreement at any time during the term of this Agreement for any reason upon two weeks written notice to the other Party.,Notice Period / Termination,Original Corporate
"The Lessee agrees to pay a monthly rent of INR 35,000 net of all deductions to the Lessor.",Rent,Rental
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"Ginkgo may grant sublicenses of the license granted to Ginkgo under Section 9.1.1 (Scope of Grants) and Section 9.1.2 (License Grant to Exploit [***]) with the prior written consent of BLI[***]; provided that such prior written consent of BLI shall not be needed for any sublicense granted by Ginkgo to (a) a Permitted Subcontractor of Ginkgo under Section 2.7 (Subcontracting) to the extent such sublicense relates to the subcontracted activities, (b) any wholly-owned subsidiary of Ginkgo existing as of the Effective Date or (c) any other Person, including other Affiliates and any Third Party, under Section 9.1.2 (License Grant to Exploit [***]) so long as, in the case of this clause (c), the sublicense [***].",License Grant,Original Corporate
Application Provider may not use Payment-Eligible User Data to                solicit User traffic to www.e-centives.com or any other                co-branded version of www.e-centives.com with the intent of                driving such Users away from using the Co-Branded Application.,Non-Compete,Original Corporate
"Thereafter, this Agreement shall be renewed automatically on a five (5) year basis, unless one party notifies the other of its desire to terminate this Agreement at least sixty 90 days prior to the expiration of the Initial Term or then current renewal term, as applicable, or unless a new Agreement is signed between the USA MCO and IMedicor which will then invalidate this Agreement.",Notice Period / Termination,Original Corporate
"The compensation of the Employee shall be INR 105,000 per month, payable in accordance with Company policy.",Salary/Compensation,Employment
"Consultant will not, during the Term, and for a period of one (1) year thereafter, directly or indirectly:",Non-Compete,Original Corporate
The initial term of the contracted agreement is 5 years from the commencement date.,Notice Period / Termination,Original Corporate
No party shall disclose the terms or financial details of this transaction to any third party without written consent.,Confidentiality,NDA/Confidentiality
"The Employee shall receive a gross monthly salary of INR 142,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"The Vendor hereby sells, transfers, and conveys all rights, title, and interest in the Property to the Purchaser.",Possession & Transfer,Property
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof",Notice Period / Termination,Original Corporate
described and mutually agreed in writing as                            amendments to this Agreement.,Intellectual Property,Original Corporate
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
"The Lessee agrees to pay a monthly rent of Rs. 24,000 net of all deductions to the Lessor.",Rent,Rental
The maximum aggregate liability of the Vendor shall not exceed the sum of INR 9 Lakhs.,Limitation of Liability,General
The Exclusivity Period shall commence on the Effective Date and expire on the third anniversary thereof.,Exclusivity,Business
"Subject to the licenses and rights of reference granted under Sections 5.1 and 5.2 and, in the case of Harpoon, its exclusivity obligations hereunder, each Party shall have the right to Exploit the Joint Intellectual Property Rights without a duty of seeking consent from or accounting to the other Party.",Intellectual Property,Original Corporate
"[***], neither Valeant nor Dova (nor any of their respective Affiliates) shall directly or indirectly solicit for hire or employee as an employee, consultant or otherwise any of the other Party's professional personnel who have had direct involvement with the JSC, with the Valeant Activities under this Agreement (which, in the case of Valeant, includes the Field Force Personnel) or with Dova's commercialization activities for the Product, without the other Party's prior written consent.",Non-Compete,Original Corporate
"Dynamic Hearing's aggregate liability to IntriCon for direct loss and damages and all other liability not described herein  arising in connection with this Agreement whether in negligence, tort, equity, contract or otherwise, is limited to  payment of damages recoverable at law or equity up to a maximum of (and, for the sake of clarity must not exceed) $5m;",Limitation of Liability,Original Corporate
"advice to any Competitive Business and which business is, or is intended to be, located within the city or county in which the Approved Location is situated.",Non-Compete,Original Corporate
This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party.,Notice Period / Termination,Original Corporate
"The Vendor hereby sells, transfers, and conveys all rights, title, and interest in the Property to the Purchaser.",Possession & Transfer,Property
"This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to choice of law principles that would require the application of the laws of any other jurisdiction.",Governing Law,Original Corporate
The covenant not to compete restricts the Employee from joining rival tech companies for 1 year in the region of Chennai.,Non-Compete,Employment
"The Tenant shall pay monthly rent of INR 35,000 to the Landlord on or before the 1st day of each calendar month.",Rent,Rental
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Hyderabad.,Arbitration & Dispute Resolution,General
"Subject to the other provisions contained herein, this AGREEMENT shall be for a term of thirty (30) years from the Effective Date, which shall automatically renew from year-to-year thereafter unless terminated by a Party upon sixty (60) days' written notice after the end of the term.",Notice Period / Termination,Original Corporate
The covenant not to compete restricts the Employee from joining rival tech companies for 6 months in the region of Bengaluru.,Non-Compete,Employment
"The Lessee agrees to pay a monthly rent of Rs. 23,000 net of all deductions to the Lessor.",Rent,Rental
The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.,Effective Date & Parties,Original Corporate
"Licensee further agrees to execute one or more copyright assignments at Fox's request, or any other subsequent document as further evidence of this assignment, and to cooperate with Fox in perfecting the assignment of any rights to the Fox Intellectual Property, and hereby appoints Fox as its attorney-in-fact to execute any documents required in connection with such assignment.",Intellectual Property,Original Corporate
The contract shall in all respects be governed by the laws of India.,Governing Law,General
"EXCEPT TO THE EXTENT DIRECT FORESEEABLE DAMAGES, IN NO EVENT SHALL DIVERSINET BE LIABLE FOR ANY INDIRECT,  SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES (INCLUDING WITHOUT LIMITATION ANY COMMERCIAL DAMAGES OR  LOSSES) AS A RESULT OF THE USE, SALE OR DISTRIBUTION OF THE BUNDLED PRODUCT, WHETHER BY WAY OF A LEGAL  THEORY OF CONTRACT, TORT (INCLUDING NEGLIGENCE), PRODUCT LIABILITY, STRICT LIABILITY, OR ANY OTHER THEORY,  EVEN IF DIVERSINET HAS BEEN INFORMED OF THE POSSIBILITY OF SUCH DAMAGES.",Limitation of Liability,Original Corporate
"After the initial term, unless terminated, this  Agreement will automatically renew for periods of one (1) calendar year each.",Notice Period / Termination,Original Corporate
The Seller warrants that the goods will be free from material defects for a period of 12 months from delivery.,Warranty Duration,Service
"In         the event any such breach of warranty can not be reasonably corrected at         Commerce One's sole expense, Corio has the right to terminate this         Agreement and receive a refund of all prepaid fees.",Warranty Duration,Original Corporate
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
"Thereafter, this Agreement shall automatically renew for         subsequent one (1) year periods unless either party provides the other         party with written notification at least thirty (30) days prior to the         expiration of the initial five (5) year term or any one (1) year renewal         thereof of its intention to terminate this Agreement.",Notice Period / Termination,Original Corporate
Integra may offset all costs and expenses covered under (i) above against the Fees as provided in Section 2.2 (c) as its sole and exclusive remedy for the recovery of such costs and expenses.,Limitation of Liability,Original Corporate
"Upon completion of the Initial Term, provided that the Reseller has achieved the Annual Milestones, the term of the Agreement shall be automatically renewed for an additional five (5) years.",Notice Period / Termination,Original Corporate
This Agreement will for all purposes be governed by and interpreted in accordance with the laws of the State of California without giving effect to any conflict of laws principles that require the application of the laws of a different state.,Governing Law,Original Corporate
"The Employee shall receive a gross monthly salary of Rs. 181,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"Talent represents and warrants that during the Term and in the Territories, Talent will not endorse or make any appearances or advertisements on behalf of any other product which is directly competitive to ESSI's products.",Non-Compete,Original Corporate
Any assignment not in accordance with this Section 14.3 will be null and void.,Other Corporate,Original Corporate
"EXCEPT TO THE EXTENT ARISING (A) FROM A PARTY'S BREACH OF ARTICLE 10 (CONFIDENTIALITY), (B) [***] (E) FROM A PARTY'S FRAUD, GROSS NEGLIGENCE OR WILLFUL MISCONDUCT OR (F) IN CONNECTION WITH A PARTY'S INDEMNIFICATION OBLIGATIONS UNDER ARTICLE 12 (INDEMNIFICATION; INSURANCE), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, INDIRECT, SPECIAL, INCIDENTAL, EXEMPLARY OR CONSEQUENTIAL DAMAGES OF ANY KIND ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, HOWEVER CAUSED AND ON",Limitation of Liability,Original Corporate
"You shall procure and maintain in full force and effect during the term of this Agreement, at Your expense, insurance policies written by an insurance company satisfactory to AIRSOPURE in accordance with standards and specifications set forth in the Operations Manual or otherwise by AIRSOPURE in writing. Such policies shall name AIRSOPURE as an additional insured and shall include, at a minimum:

A. Comprehensive general liability insurance in the amount of $1,000,000.00.

B. Comprehensive automobile liability insurance, including collision, comprehensive, medical and liability to satisfy state law requirements.

C. Additional coverage's and higher policy limits may be required from time to time by AIRSOPURE.",Other Corporate,Original Corporate
The grant of each license hereunder includes the right to grant sublicenses to Related Companies for so long as it remains a Related Companies,License Grant,Original Corporate
"The Landlord shall be responsible for major structural repairs, while routine maintenance shall be borne by the Tenant.",Maintenance & Utilities,Rental
"The  Company  represents  that,  to the  best  of its                            knowledge,  Products are in compliance with all laws,                            and  that  the  Products  will  not be  hazardous  or                            dangerous  when  used  for  their  intended  purpose.                            Products  do not  cause  harmful  emissions  or other                            environmental  hazards and Products do not violate or                            infringe any patents, copyrights, trademarks or other                            rights  of  nay  third  party(ies).",Warranty Duration,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"And Distributor, taken as a whole, shall be liable for physical damage to Airspan's property resulting from Distributor's negligence under or in connection with this Agreement up to a maximum aggregate amount of one million US Dollars (US$1,000,000).",Limitation of Liability,Original Corporate
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",Notice Period / Termination,Original Corporate
"The Lessee has paid a sum of Rs. 78,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Pune.,Arbitration & Dispute Resolution,General
"For a period of 12 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"This Agreement may be terminated at any time while the Employee is living by written notice thereof by either the Employer or the Employee to the other; and, in any event, this Agreement will terminate upon termination of the Employee's employment.",Notice Period / Termination,Original Corporate
"The Tenant shall pay monthly rent of Rs. 27,000 to the Landlord on or before the 10th day of each calendar month.",Rent,Rental
"In turn, UTEK agrees that it will not directly or indirectly solicit any present employee of MKOS.",Non-Compete,Original Corporate
MacroGenics shall have the initial right to institute and direct legal proceedings against any Third Party believed to be infringing Jointly Owned Patents that claims or covers a Product sold outside the Territory.,Intellectual Property,Original Corporate
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"During the probation period, either party may terminate employment by giving 7 days' notice.",Notice Period / Termination,Employment
"AT&T grants to Vendor a license to access, use, and copy the AT&T Derived Data, with no right to grant sublicenses, solely for the performance of Vendor's obligations during the Term of this Agreement and solely in compliance with AT&T's privacy policies, including obligations relating to Customer Information.",License Grant,Original Corporate
"In the event of a Triggering Event, Customer's Exclusive Purchase Requirement with respect to each and every Product that is the subject of the Triggering Event shall be temporarily suspended until such time as Manufacturer notifies Customer that Manufacturer is able to resume the manufacture and supply of the subject Product(s) on the terms and conditions of this Agreement (such period referred to as the ""Exclusive Purchase Requirement Suspension Period""); provided that, (i) during such Exclusive Purchase Requirement Suspension Period, Customer shall use commercially reasonable efforts to limit its orders for the subject Product(s) to the quantities specified in the last Forecast that preceded the Triggering Event for the applicable period(s) and promptly notify Manufacturer in the event and to the extent that Customer's orders exceed such quantities specified in such Forecast and (ii) Customer shall be entitled to take delivery of Product(s) ordered during the Exclusive Purchase Requirement Suspension Period even if such delivery is scheduled for or actually occurs subsequent to the Exclusive Purchase Requirement Suspension Period.",Exclusivity,Original Corporate
"Each of Supplier and CUTANEA shall maintain and keep in force at its sole cost and expense throughout the Term of this Agreement and for three years following the effective date of expiration or termination hereof (if such policies are on a claims made basis), Commercial General Liability Insurance from carriers having an A. M. Best rating of A, including Product Recall, Bodily Injury and Property Damage Insurance, with a combined single limit of not less than $[***] per occurrence and $[***] in the aggregate annually (this limit can be secured via a combination of primary and excess/umbrella policies). I",Other Corporate,Original Corporate
"At any time following the expiration of the Distribution Term (as defined in Section 1.17), the Distributor may terminate this Agreement at will upon [***] prior written notice to Zogenix.",Notice Period / Termination,Original Corporate
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
"All expenses relating to the registration of this sale deed, stamp paper, and advocate fees shall be paid by the Buyer.",Stamp Duty & Registration,Property
THE LIMITATIONS ON LIABILITY FOR DAMAGES SET FORTH IN THIS AGREEMENT SHALL BE INAPPLICABLE TO EACH PARTY'S CONTRACTUAL OBLIGATION TO INDEMNIFY THE OTHER PARTY AS SET FORTH IN SECTIONS 2.6 AND 13.,Limitation of Liability,Original Corporate
"During the probation period, either party may terminate employment by giving 15 days' notice.",Notice Period / Termination,Employment
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
The Exclusivity Period shall commence on the Effective Date and expire on the third anniversary thereof.,Exclusivity,Business
"Unless this Agreement is terminated pursuant to Section 25, this Agreement will automatically renew for additional successive [***] terms (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") unless and until either Party provides written notice of non-renewal to the other Party at least [***] prior to the end of the then-current Term.",Notice Period / Termination,Original Corporate
Either party may terminate this Agreement at any time on prior written notice to the other.,Notice Period / Termination,Original Corporate
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 6 months.,Limitation of Liability,General
All rights granted to HSWI under this Agreement may be exercised by or through HSWI and/or its Affiliates.,License Grant,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"During the Term and for a period of four years after the termination of this Agreement, VerticalNet shall not, directly or indirectly, by itself, through its Affiliates or through any type of joint venture or similar affiliation with a third party, without prior written approval from PaperExchange, buy, sell or trade",Exclusivity,Original Corporate
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"Disputes shall be resolved by arbitration in accordance with the rules of the Indian Arbitration Act, with the venue of arbitration in Kolkata.",Arbitration & Dispute Resolution,General
"Customer hereby grants to Manufacturer a non-exclusive license during the Term to use any Customer Property and Customer-Owned Improvements and Developments solely in connection with Manufacturer performing its obligations under this Agreement or the Facility Addendum in accordance with the terms hereof or thereof, as applicable",License Grant,Original Corporate
In the case that the company would not like to extend the terms of agreement for an additional month. The company must notify the consultant within 5 days of the conclusion of the 12 month term.,Notice Period / Termination,Original Corporate
The Supplier agrees to supply the Products exclusively to the Buyer within the territory of India during the term.,Exclusivity,Business
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"The compensation of the Employee shall be Rs. 49,000 per month, payable in accordance with Company policy.",Salary/Compensation,Employment
No party shall disclose the terms or financial details of this transaction to any third party without written consent.,Confidentiality,NDA/Confidentiality
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
This Agreement shall commence on 1 January 1998.,Effective Date & Parties,Original Corporate
"During the term of this Agreement and for a period of two (2) years after expiration or termination for any reason of this Agreement, Maimon agrees not to:",Non-Compete,Original Corporate
"The Employer agrees to pay the Employee a CTC of Rs. 181,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
"During the Lease Term, PPI shall:",Other Corporate,Original Corporate
"The Employee shall be on probation for a period of 3 months, extendable at the discretion of the Company.",Notice Period / Termination,Employment
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
The above warranties are valid for a period of [***] from the date of shipment of any Licensed Product to any customer.,Warranty Duration,Original Corporate
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Bengaluru.,Arbitration & Dispute Resolution,General
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"For a period of 1 year post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"Neither this Agreement nor any right or obligation hereunder may be assigned or otherwise transferred by either Party without the prior written consent of the other Party; provided, however, that each HOF Entity may, upon written notice to Constellation but without a requirement to obtain Constellation's consent, transfer, assign, convey, pledge or encumber, in whole or in part, any and all of its rights under this Agreement as security in connection with a loan transaction.",Other Corporate,Original Corporate
Either party may terminate this employment agreement by giving 2 months' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
Either party may terminate this agreement by providing Ninety days Written Notice.,Notice Period / Termination,Original Corporate
"The Agreement rests, for all that, cancellable at any time by any of the parties before the expiry date of the Agreement or any of itsrenewals, upon three months prior written notice.",Notice Period / Termination,Original Corporate
The courts of law at Mumbai shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
"For this purpose, each          Maintenance  Authority  shall  retain  significant  records,  including          recorder charts,  for a period of not less than five (5) years from the          date of the record.",Other Corporate,Original Corporate
The Employee shall not engage in any business competing with the Employer's activities during employment and for 1 year thereafter.,Non-Compete,Employment
The Exclusivity Period shall commence on the Effective Date and expire on the third anniversary thereof.,Exclusivity,Business
"The Tenant shall pay monthly rent of INR 32,000 to the Landlord on or before the 5th day of each calendar month.",Rent,Rental
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
The Seller warrants that the goods will be free from material defects for a period of 12 months from delivery.,Warranty Duration,Service
"Regardless of the term, Licensee can terminate Agreement with at least one hundred eighty (180) days written notice with no further obligation.",Notice Period / Termination,Original Corporate
"If after the Effective Date, Array retains a Third Party Partner for the Product in one or more countries in the Array Territory, Array shall use Diligent Efforts to gain such Third Party Partner's consent to allow Array to (i) share with Ono under Section 4.7 (Exchange of Data and Know-How) the clinical data and know-how generated by such Third Party Partner, (ii) extend to Ono under Section 4.8 (Rights of Reference and Access to Data) a right to reference the Regulatory Filings of such Third Party Partner with respect to Products, and (iii) extend to Ono a license under improvements made by such Third Party Partner, in each case: (A) to the extent that such data, know-how, rights of reference and improvements are necessary or reasonably useful for Ono's Development, preparation of MAAs and filing of MAAs with respect to Products in the Ono Territory or Commercialization of the Product in the Ono Territory and (B) without charge, however it is understood that a failure of Array to obtain such rights shall not be deemed a breach of this Section 2.4.",License Grant,Original Corporate
"Within 30 days after the Effective Date, Neoforma shall provide a copy of all Neoforma Laboratory Product Listings existing as of the Effective Date to VerticalNet for use on the VerticalNet Sites on an exclusive basis (even as to Neoforma), to the extent Neoforma has the right to do so.",Exclusivity,Original Corporate
"Notwithstanding the foregoing, the provisions of Sections 3.1  [LABORATORY PRODUCTS] through 3.8  [LABORATORY PRODUCTS] shall not apply to any Laboratory Product sold through live (non-virtual) auctions conducted by Neoforma (through Neoforma GAR or otherwise) for which no Product Listing is made; provided, however, that Neoforma shall use commercially reasonable efforts to acquire Product Listings for all such Laboratory Products. If Neoforma receives a set of Product Listings packaged as a ""lot,"" Neoforma shall use commercially reasonable efforts to provide all Laboratory Product Listings contained in such ""lot"" to VerticalNet in accordance with this Agreement.",Exclusivity,Original Corporate
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"Bosch hereby grants to Client the exclusive rights to sell and distribute the Product, subject to the Territory as set forth below, to certain select companies in the Automotive Industry, each of which shall be approved by Bosch in writing as requested by the Client on a case by case basis.",Exclusivity,Original Corporate
The Exclusivity Period shall commence on the Effective Date and expire on the first anniversary thereof.,Exclusivity,Business
"""Warranty Period"" means a period of [***]from the relevant Supplier's shipment of the Product.",Warranty Duration,Original Corporate
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
The Supplier agrees to supply the Products exclusively to the Buyer within the territory of India during the term.,Exclusivity,Business
"The software warranty period shall be one year, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
(c) Women.com will not enter into a relationship with a Competitive Company that involves any of the following; (i) custom developed mini or micro web sites; (ii) content integration; (iii) discounts offered only to Women.com members on the Member Central page of the Women.com Sites; (iv) editorial endorsement (such as,Non-Compete,Original Corporate
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
"The term of this IP Agreement shall be from the Effective Date until all of the Intellectual Property licensed hereunder is in the public domain (provided, however, that in such event the representations and warranties in Article III shall survive (and terminate) in accordance with the Acquisition Agreement) or this IP Agreement is terminated pursuant to Section 4.3.",Notice Period / Termination,Original Corporate
"In the event XENCOR rejects the Product for Obvious Defects or Latent Defects as provided above, BII shall have the right to sample and retest the Product, which shall be done as soon as",Warranty Duration,Original Corporate
"This Agreement shall be governed by the internal laws, and not by the laws regarding conflicts of laws, of the State of North Carolina.",Governing Law,Original Corporate
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"Consultant will not, during the Term, and for a period of one (1) year thereafter, directly or indirectly: (i) solicit, recruit or promote the solicitation or recruitment of any employee or consultant of the Company for the purpose of encouraging that employee or consultant to leave the Company's employ or sever an agreement for services",Non-Compete,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
"The software warranty period shall be one year, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
"becomes known, whichever is later.",Limitation of Liability,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
The parties hereby agree that the                   copyright in the Product sound recording compilation will be                   jointly registered by Integrity in the names of Integrity                   and TL.,Intellectual Property,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
"""Effective Date"" means the date of last signature on this Agreement.",Effective Date & Parties,Original Corporate
"Kitov shall provide Dexcel with written notification of any shortfalls in shipment quantity, and (a) any out-of-specification temperature excursions based on the downloaded data logger information following compliance with the provisions of the Quality Agreement, and/or (b) any failure of the Product to meet the Specifications which are apparent upon visual inspection and/or identification testing of the Product delivered to it by Dexcel (each of (a) and (b) being an ""Apparent Defect""), such notification to be provided within thirty (30) Working Days of receipt of the Product at Kitov's warehouse, accompanied by samples of any such allegedly defective Product and any such Product shall not be removed from quarantine until their status is resolved.",Warranty Duration,Original Corporate
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
The foregoing shall not preclude either party from employing any such employee (a) who seeks employment with the other party in response to any general advertisement or solicitation that is not specifically directed towards employees of such party or (b) who contacts the other party on his or her own initiative without any direct or indirect solicitation by such party.,Non-Compete,Original Corporate
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement.,Effective Date & Parties,Original Corporate
"All of these policies must contain Cross Liability Endorsements, or their equivalent.",Other Corporate,Original Corporate
"During the Term and subject to the terms, conditions and limitations of this Agreement, Client  hereby grants EFS, a limited, non-transferable, non-assignable (without any right to sublicense) world-wide license to use the  Internet location or resource designators (URLs, domain names, etc.) set forth in Part B of Exhibit 1 hereto, and/or to the extent  approved in advance in writing by Client, as the case may be, modifications thereof (the ""Licensed Domain Names""), as the  domain name(s) and Internet locators/designators for the Websites during the Term.",License Grant,Original Corporate
"Assignor does hereby irrevocably sell, convey, grant, set over, assign and transfer to Assignee, without reservation of any rights, title or interest, all of Assignor's right, title and interest in and to the Assigned Patents, all rights corresponding to the Assigned Patents throughout the world, and all continuations, continuations-in-part, divisions or renewals thereof, all patents that may be granted therefrom, all reissues, re-exams, or extensions of such patents, and in and to any applications that have been or shall be filed in any country, and all patents or utility models of countries that may be granted therefrom, for its own use and enjoyment, and for the use and enjoyment of any of Assignee's successors and assigns, as the





same would have been held and enjoyed by Assignor if this Assignment had not been made, together with any and all claims or causes of infringement thereof that may have accrued prior to the effective date of this Assignment, together with the right to bring suit for and/or initiate any proceeding to collect any and all damages arising from said claims or causes of action.",Intellectual Property,Original Corporate
The covenant not to compete restricts the Employee from joining rival tech companies for 6 months in the region of New Delhi.,Non-Compete,Employment
The courts of law at Pune shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
"This AGREEMENT is controlled by the laws of the State of Texas, and venue for any actions brought to enforce this AGREEMENT shall be brought exclusively in a court of competent jurisdiction in Pecos County, Texas.",Governing Law,Original Corporate
A copy of such insurance policy shall be provided to North within thirty (30) days after execution of this Agreement.,Other Corporate,Original Corporate
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in Kolkata.,Jurisdiction & Venue,General
MPM ONCOLOGY IMPACT MANAGEMENT LP,Effective Date & Parties,Original Corporate
Any implied warranties of the Licensed Software are LIMITED to one year starting from the date of purchase or for the period described in the contractual agreement with the Power2Ship.,Warranty Duration,Original Corporate
"During the Term of this Agreement and for a period of                            twelve (12) months  thereafter,  the  Distributor (on                            behalf of itself,  each of its affiliates and each of                            their respective representatives) agrees that it will                            not  directly  or  indirectly  solicit  or  hire  any                            executive,  managerial  or technical  employee of the                            Company or any of its affiliates.",Non-Compete,Original Corporate
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
