clause_text,risk_level,domain,clause_type,is_synthetic
"FG shall have the worldwide exclusive right (itself or through third party vendors) to manufacture (or have manufactured) Lead Compounds. Astellas and its Affiliates and Sublicensees shall not directly or indirectly make, produce or manufacture any Lead Compounds.",high,Original Corporate,Exclusivity,False
"All questions with respect to the construction of this Agreement, and the rights and liabilities of the Parties hereto, shall be governed by the laws of the State of Florida.",low,Original Corporate,Governing Law,False
"Without limitation of its rights under this ARTICLE 13, Xencor may also terminate this Agreement in its entirety as applicable, pursuant to the provisions of Section 9.7.",high,Original Corporate,Termination For Convenience,False
"New Alloy Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties",medium,Original Corporate,Joint Ip Ownership,False
"Developer shall deposit the source code of the Software with an escrow agent within 30 days of release, to be updated quarterly.",medium,Original Corporate,Source Code Escrow,True
SCANSOURCE DE MEXICO S. DE R.L. DE C.V.,low,Original Corporate,Parties,False
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.3, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to pay SFJ an amount equal to fifty percent (50%) of the Approval Payments (as adjusted as set forth in Section 6.2, subject, to the extent applicable, to Sections 2.3.3 and 3.12.2) that become due and payable under ARTICLE 6 at such time as they become due and payable (if ever) pursuant to ARTICLE 6 (or, as applicable, 50% of any Buy-Out Payment that PB elects to pay pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall also be adjusted as set forth in Section 6.2.",high,Original Corporate,Post-Termination Services,False
MCI International Telecommunications. Inc.,low,Original Corporate,Parties,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"Except to the extent governed by the Federal Arbitration Act or other federal law, this Agreement and all claims arising from the relationship between Hyatt (and/or any of its Affiliates) and Playa (and/or any of its Affiliates) under this Agreement will be governed by the laws of the State of Illinois (U.S.A.), without regard to its conflict of laws rules, except that any Illinois law or any other law regulating the offer or sale of franchises, business opportunities, or similar interests, or governing the relationship between a franchisor and a franchisee or any similar relationship, will not apply unless its jurisdictional requirements are met independently without reference to this Section 4.",low,Original Corporate,Governing Law,False
Either party may terminate this Agreement by giving the other party at least 45 days written notice.,low,Rental,Termination,True
"Corio shall notify Commerce One in writing if it believes that         one of the following events (the ""RELEASE CONDITIONS"") has occurred and         that it intends to seek release of the Source Code from the escrow         account: (i) Commerce One's dissolution or ceasing to do business in the         normal course, or (ii) Commerce One's repeated and material breach of         its support and maintenance obligations under Section 5 of this         Agreement and such breach is not cured within sixty (60) days of receipt         of written notice thereof from Corio. If Commerce One notifies Corio in         writing that it disputes whether any such event has occurred, officers         of each of the parties shall negotiate for a period of ten (10) business         days to attempt to resolve the dispute. At the end of such ten (10)         business day period, if the parties have not resolved the dispute, the         matter shall be referred to arbitration in the manner provided in         Section 14.3 of this Agreement.",high,Original Corporate,Source Code Escrow,False
"M&I shall be responsible for the cost of maintaining and updating the source code escrow including any fees to be





paid to DSI.",medium,Original Corporate,Source Code Escrow,False
"All insurers of a Party on such policies must have at all times an A.M. Best financial rating of at least ""A-Minus VII"".",medium,Original Corporate,Insurance,False
"This Agreement shall be effective as of that date (the ""Effective Date"") the Site becomes fully operational as set forth in writing and executed by both Parties and shall continue for a period of one (1) year from the Effective Date.",low,Original Corporate,Effective Date,False
The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows,high,Original Corporate,Expiration Date,False
"respect to the manufacturing of Bromelain SP, CBC undertakes, at its sole cost and expense, to take out and maintain an ""All risk"" insurance against loss of and destruction or damage to the Facility (including fire, theft and vandalism, etc.), third party liability insurance, product liability insurance for the Bromelain SP and employers liability insurance.",medium,Original Corporate,Insurance,False
"20th day of Friday, March 2020",low,Original Corporate,Agreement Date,False
"The  term  (""Term"")  of  this Agreement shall be for one hundred eighty  days  (180)  from  the  date set forth below unless Network 1 or Visa or MasterCard  or Harris Bank doesn't approve Affiliate's ISO application, in which case,  the  Term  will  be  3 years.",low,Original Corporate,Expiration Date,False
"Effective Date"" shall mean December 5, 2014.",low,Original Corporate,Agreement Date,False
"The Tenant shall pay a refundable security deposit of INR 76,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
Any rights of review and audit pursuant to this Paragraph 9 shall only be exercisable through the F&ASC in accordance with the F&ASC's audit procedures.,medium,Original Corporate,Audit Rights,False
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
The Farids Group shall not deliver more than one ROFR Sale Notice or ROFO Sale Notice in any thirty (30) day period.,medium,Original Corporate,Rofr/Rofo/Rofn,False
"Minimum Cumulative Purchase Commitment Contract Year 1 $ [***] $ [***] $ [***] $ [***] Contract Year 2 $ [***] $ [***] $ [***] $ [***] Contract Year 3 $ [***] $ [***] $ [***] $ [***] Contract Year 4 $ [***] $ [***] $ [***] $ [***] Contract Year 5 $ [***] $ [***] $ [***] $ [***] Contract Year 6 $ [***] $ [***] $ [***] $ [***] Contract Year 7 [***] $ [***] $ [***] $ 109,000,000 Total $ [***] $ [***] $150,000,000 N/A",medium,Original Corporate,Minimum Commitment,False
Neither party shall voluntarily or by operation of law assign or otherwise transfer the rights and/or obligations incurred pursuant to the terms of this Agreement without the prior written consent of the other party.,high,Original Corporate,Change Of Control,False
"The Association hereby grants Company the right to use the Association Name and Logo (""the Association Marks"") on educational, promotional and or advertising materials throughout the Term (see Attachment ""B"").",low,Original Corporate,License Grant,False
"Within twenty (20) days after the end of each Calendar Quarter , GSK shall pay Theravance royalty payments based on Net Sales in such Calendar Quarter during the Term as follows:        On total Annual Worldwide Net Sales up to and including U.S. $3 Billion:

  15   %                   On total Annual Worldwide Net Sales greater than U.S. $3 Billion:

  5   %     it being understood that Net Sales of a single agent Collaboration Product will be combined with Net Sales of a LABA/ICS Combination Product for purposes of the foregoing royalty calculation.",medium,Original Corporate,Revenue/Profit Sharing,False
"MacroGenics and Green Cross may be referred to herein individually as a ""Party"" or collectively as the ""Parties.",low,Original Corporate,Parties,False
"At Vapotherm's request to Medica from time to time, Medica shall furnish Vapotherm with certification of insurance evidencing that insurance and shall provide at least [* * *] Business Days prior written notice to Vapotherm of any cancellation of or decrease in the dollar amount of coverage provided by any such policy.",medium,Original Corporate,Insurance,False
"This Agreement may not be assigned without the written consent of the other party, which consent shall not be unreasonably withheld, except that it shall be assigned automatically to any successor to FIIOC as the Funds' transfer agent, and any such successor shall be bound by the terms of this Agreement.",high,Original Corporate,Anti-Assignment,False
"(""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,",low,Original Corporate,Parties,False
"If Astellas detects at any time any defect in the Lead Compound which has not been found through Astellas' inspection, it shall notify FG to that effect within [ * ] of the discovery of such defect, and the procedures set forth above in this Section 12.7 shall be applied to such defective Lead Compound, provided, that FG shall only be responsible to pay for costs of defects that are the result of FG's gross negligence or willful misconduct.",medium,Original Corporate,Warranty Duration,False
"Didi Chuxing Technology Co., Ltd.",low,Original Corporate,Parties,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"This Agreement shall be automatically renewed for an additional one year period on each anniversary of the Effective Date, unless terminated by either Party hereto upon ninety (90) days written notice to the other.",high,Original Corporate,Renewal Term,False
"During such audits, the auditing Party shall have the right to take extracts and/or make copies of the audited Party's records as it deems necessary",medium,Original Corporate,Audit Rights,False
"In addition,          if any such inspection reveals an underpayment of more than five          percent (5%) for the period under audit, Corio shall reimburse          Changepoint for the reasonable cost of the examination.",medium,Original Corporate,Audit Rights,False
"Ownership of intellectual         property rights to any enhancements, modifications or derivative works         to the Software itself which may be developed jointly by the parties or         solely by Corio shall be negotiated by the parties prior to the start of         any such development work.",medium,Original Corporate,Joint Ip Ownership,False
"The initial period of this Agreement (the ""Initial Term"") shall commence upon the Effective Date and continue until March 31, 2003.",low,Original Corporate,Expiration Date,False
This Agreement shall expire five (5) years from the Effective Date.,medium,Original Corporate,Expiration Date,True
"The Tenant shall pay a refundable security deposit of INR 38,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
The Employee shall not work for any competitor in the same city for 18 months after the termination of employment.,medium,Employment,Non-Compete,True
"Each Party shall maintain such insurance for so long as it continues its activities under this Agreement, and thereafter for so long as it customarily maintains insurance for itself covering similar activities.",medium,Original Corporate,Insurance,False
This Agreement shall be governed by and construed in all respects in accordance with the law of England and Wales and both parties  submit to the exclusive jurisdiction of the English Courts.,high,Original Corporate,Governing Law,False
"This Agreement shall automatically renew for successive five-year terms, with fees adjustment based on the maximum CPI inflation rate.",high,Original Corporate,Renewal Term,True
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
Notwithstanding the foregoing Nantz shall be permitted to wear a Lynx hat or clothing logo when performing promotional services for Lynx and to use Lynx equipment when performing any promotional services for the Company in which equipment will be used.,high,Original Corporate,Competitive Restriction Exception,False
Purchaser hereby covenants never to sue Seller or its affiliates for any environmental liabilities associated with the property.,high,Original Corporate,Covenant Not To Sue,True
The certificates shall state the amount of all deductibles and self-insured retentions and shall contain evidence that the policy or policies shall not be canceled or materially altered without at least thirty (30) calendar days prior written notice to Bank of America.,medium,Original Corporate,Insurance,False
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
"The laws of the State of New York (excluding any laws that direct the application of another jurisdiction's law) govern all matters arising out of or relating to this Agreement and all of the transactions it contemplates, including its validity, interpretation, construction, performance, and enforcement.",low,Original Corporate,Governing Law,False
Master Development and Manufacturing Agreement,low,Original Corporate,Document Name,False
"Company hereby grants to ACSI, during the Term, a non-exclusive, non-transferable (except in accordance with Section 11.7  [Assignment]) license, which ACSI may sublicense only to its Affiliates, to use the Company Intellectual Property supplied by Company to ACSI as is reasonably necessary to perform its obligations under this Agreement; provided, however, that ACSI shall not use Company's Trademarks, including in any advertising, without Company's prior written consent, unless such use conforms to a written Trademark use policy previously furnished by Company to ACSI and not subsequently modified or revoked.",high,Original Corporate,License Grant,False
"The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.",high,Original Corporate,Effective Date,False
"Each party's liability under this Agreement shall be limited to direct damages and shall not exceed USD 100,000.",low,Original Corporate,Cap On Liability,True
Moelis & Company Holdings GP LLC,low,Original Corporate,Parties,False
19.3.1 Divert or attempt to divert any actual or potential business or customer of any Goosehead Business to any competitor or otherwise take any action injurious or prejudicial to the goodwill associated with the Marks and the System.,high,Original Corporate,Non-Compete,False
"The parties' rights and obligations hereunder shall be construed and enforced under the laws of the State of Texas, U.S.A., without regard to conflict of laws principles. Incoterms 2010 (or any subsequent revision thereof) (""Incoterms"") shall also apply; provided, however, that Incoterms shall apply only to the extent specified in the agreement hereof, and provided, further, that in the event of a conflict between Incoterms and the laws of the State of Texas, U.S.A., the latter shall govern.",low,Original Corporate,Governing Law,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"The Tenant shall pay a refundable security deposit of INR 50,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
"IF A CLAIM OR CAUSE OF ACTION IS ATTRIBUTABLE TO ANY MAINTENANCE UPDATE, ENHANCEMENT OR SERVICES PROVIDED OR TO BE PROVIDED UNDER THIS AGREEMENT, THE REMEDIES SET FORTH IN THIS AGREEMENT, TO THE EXCLUSION OF THE REMEDIES SET FORTH IN THE SUBSCRIPTION LICENSE AGREEMENT, SHALL CONSTITUTE THE SOLE AND EXCLUSIVE REMEDIES AVAILABLE TO A PARTY FOR SUCH CLAIM OR CAUSE OF ACTION.",high,Original Corporate,Cap On Liability,False
"It will be governed by the law of the People's Republic of China ,otherwise it is governed by United Nations Convention on Contract for the International Sale of Goods.",low,Original Corporate,Governing Law,False
"In addition, the Franchisee shall submit to BKC copies of tax returns relating to the Franchisee's  sales at the Franchised  Restaurant at the same time the returns are filed,  and such other  records as BKC may  reasonably request from time to time.",medium,Original Corporate,Audit Rights,False
"In the event that you use, sell or distribute unauthorized products or services, and do not cease the use, sale, or distribution of unauthorized services or products within ten (10) days after written notice is given to you, we reserve the right to terminate this agreement and/or charge you a fee of One Hundred and No/100 Dollars ($100.00) for each day that you fail to comply with our demand to cease the use, sale or distribution of unauthorized products or services, which is a reasonable estimate of the damages we would incur from your continued use, sale or distribution of unauthorized products or services, and not a penalt",high,Original Corporate,Liquidated Damages,False
"Except with respect to your obligations to indemnify us and claims that we may bring under Sections 7, 9, 15, or 16 of this Agreement, and except for claims arising from your non-payment or underpayment of any amounts owed to us or our affiliates, (1) any and all claims arising out of or related to this Agreement or the relationship between you and us shall be barred, by express agreement of the parties, unless an action or proceeding is commenced within two (2) years from the date the cause of action accrues; and (2) you and we hereby waive to the fullest extent permitted by law, any right to or claim for any punitive or exemplary damages against the other, and agree that, except to the extent provided to the contrary in this Agreement, in the event of a dispute between you and us, each party will be limited to the recovery of any actual damages sustained by it.",high,Original Corporate,Uncapped Liability,False
"Where this Agreement has expired or has been terminated for any reason other than by PPI in accordance  with Section 16.1 or EKR in accordance with Section 16.3(b), EKR and its Affiliates and sub-distributors and sales agents shall be entitled  to continue to sell existing stocks of the Product in the Territory for a period of not longer than 12 months following the date of termination,  provided that, EKR continues to make any Royalty payments due to PPI in respect of such sales in accordance with the provisions of this  Agreement.",high,Original Corporate,Post-Termination Services,False
"[ * ] expected to experience, or [ * ] is experiencing, such  Change of Control shall notify [ * ] in writing of this before or within [ * ] after the Change of Control.",high,Original Corporate,Change Of Control,False
No Party may assign any rights under this Agreement or delegate any duties hereunder without the prior written consent of the other Party.,high,Original Corporate,Anti-Assignment,False
"PennTex North Louisiana Operating, LLC",low,Original Corporate,Parties,False
"Shipper shall tender to Carrier and Carrier shall transport in a series of shipments not less than 10,000 pounds of Commodities per year.",medium,Original Corporate,Minimum Commitment,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"The Tenant shall pay a refundable security deposit of INR 146,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
this Agreement as of the Effective Date.,low,Original Corporate,Agreement Date,False
Consultant assigns to Company all intellectual property rights in the written reports created specifically for Company under this project.,low,Original Corporate,Ip Ownership Assignment,True
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
"The Escrow Agreement provides that the Escrow Agent shall,   under certain circumstances, release the Source Code and related   DOCUMENTATION to TELKOM.",medium,Original Corporate,Source Code Escrow,False
"The period of             liaison will commence as soon as notice has been given of             termination of this Agreement, and will continue for a maximum             period of 3 months after termination;",high,Original Corporate,Post-Termination Services,False
MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,low,Original Corporate,Document Name,False
"return to WGT within twenty (20) days following the expiration or      termination of the Term, any and all (i) demonstration Product provided to      Distributor; (ii) Products not already paid for in full by Distributor; and      (iii) promotional literature, data, information and other items received by      Distributor under this Agreement;",high,Original Corporate,Post-Termination Services,False
"Tenant shall have a Right of First Refusal to lease any adjacent office space, provided Tenant is not in default.",medium,Original Corporate,Rofr/Rofo/Rofn,True
"Subject to Section 3.2, each Assignor Party, on behalf of itself and the other members of the Assignor Group, hereby irrevocably assigns to the applicable Assignee Party, and agrees to irrevocably assign to the applicable Assignee Party, all of its and the other members of the Assignor Group's rights, title and interest in and to any and all Intellectual Property Rights owned by the Assignor Party or another member of the Assignor Group that meets one or more of the following descriptions: (a) the Intellectual Property Rights are Requester Foreground IPR conceived or created in the course of services concerning which the Assignee Party or another member of the Assignee Group was the Requester, and the Assignor Party or another member of the Assignor Group was the Performer; or (b) the Intellectual Property Rights are Performer Foreground-Delivered IPR conceived or created in the course of services concerning which the Assignee Party or another member of the Assignee Group was the Requester, and the Assignor Party or another member of the Assignor Group was the Performer; or",medium,Original Corporate,Ip Ownership Assignment,False
This Agreement shall not be assignable by either party without the prior written consent of the other party.,high,Original Corporate,Anti-Assignment,False
"At no time during or after the term of this Agreement will the Distributor challenge or assist others to challenge JRVS Trademarks or the registration thereof or attempt to register any trademarks, marks or trade names confusingly similar to those of JRVS. T",medium,Original Corporate,Covenant Not To Sue,False
This Agreement shall renew automatically thereafter for successive one year periods until terminated pursuant to Section 12 herein or unless either Client or TrueLink deliver to the other written notice of intent not to renew no later than thirty (30) days prior to the end of said year.,high,Original Corporate,Renewal Term,False
"Each of Licensor and Licensee understands and acknowledges that Licensor shall be entitled to protect and preserve the going concern value of Licensor's business to the extent permitted by law and that Licensor would not have entered into this Agreement absent the provisions of this Section 10.1 and, therefore, each of Licensor and Licensee agrees that during the term of this Agreement Licensee shall not engage in, represent in any way or be connected with directly or indirectly any business competing with the Licensed Products.",high,Original Corporate,Non-Compete,False
"License Grants.

1. RevMed License to SHP2 Inhibitors. Sanofi shall, effective upon any such termination of this Agreement, and hereby does, grant to RevMed [***], under all [***], and [***], to [***]. Notwithstanding the foregoing, [***] shall not include [***], and [***] shall include [***] (to the extent [***]).

2. RevMed License to Practice Certain Combinations. Sanofi shall, effective upon any such termination of this Agreement, and hereby does, grant to RevMed [***], under [***], and [***] (but excluding [***]). For the avoidance of doubt, [***] licensed under this Section 12.3(c)(ii)(A)(2) do not [***]. 60

Source: REVOLUTION MEDICINES, INC., S-1, 1/17/2020





3. Sanofi License to Practice Certain Combinations. [***] RevMed shall, effective upon any such termination of this Agreement, and hereby does, grant to Sanofi [***], under [***], and [***]. For the avoidance of doubt, [***] licensed under this Section 12.3(c)(ii)(A)(3) do not [***]. If Sanofi [***], Sanofi shall so notify RevMed in writing, and [***].",high,Original Corporate,License Grant,False
"LEA shall not at any time do or cause to be done any act, omission, or thing contesting or in any way impairing or tending to impair any part of T&B's right, title and interest in the Licensed Intellectual Property.",medium,Original Corporate,Covenant Not To Sue,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 5 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"You shall not purposely solicit sales and service to customers located outside Your Exclusive Territory, provided such activity in not within an assigned Exclusive Territory.",high,Original Corporate,Exclusivity,False
"Should a Product fail within this warranty period, Distributor shall replace such defective Product from Distributor's inventory and accept return of the failed Product from Distributor's customer.",medium,Original Corporate,Warranty Duration,False
"This Agreement and all questions regarding its validity or interpretation, or the breach or performance of this Agreement, shall be governed by, and construed and enforced in accordance with, the laws of the State of New York, United States, without reference to conflict of law principles.",high,Original Corporate,Governing Law,False
M&I agrees that Customer shall have the right to obtain a copy of the source code for the IBS Software pursuant to the terms and conditions of this Article 23.,medium,Original Corporate,Source Code Escrow,False
"Commercial General Liability Insurance with a minimum combined single limit of liability of $1,000,000 per occurrence and $2,000,000 aggregate for bodily Injury, death, property damage and personal injury, and specifically covering infringement of Intellectual Property Rights. This policy shall include products/completed operations coverage and shall also include contractual liability coverage.",medium,Original Corporate,Insurance,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
Developer may also terminate this Agreement by giving two (2) weeks' notice in writing to VAL.,high,Original Corporate,Termination For Convenience,False
"This Agreement shall be governed in all respects, including validity, interpretation, and effect, by, and construed in accordance with, the laws of the State of Delaware executed and to be performed wholly within the State of Delaware, without giving effect to the choice of law or conflict of law principles thereof or of any other jurisdiction to the extent that such principles would require or permit the application of the laws of another jurisdiction.",low,Original Corporate,Governing Law,False
"EXCEPT FOR INDEMNIFICATION  OBLIGATIONS DUE TO LIABILITIES TO THIRD PARTIES, NOTWITHSTANDING ANY PROVISION CONTAINED IN THIS AGREEMENT TO THE CONTRARY, NO PARTY TO THIS AGREEMENT WILL BE LIABLE TO ANY OTHER PARTY TO THIS AGREEMENT FOR ANY INCIDENTAL, INDIRECT, SPECIAL, CONSEQUENTIAL OR PUNITIVE DAMAGES (INCLUDING DAMAGES FOR LOSS OF USE, POWER, BUSINESS GOOD WILL, REVENUE OR PROFIT, NOR FOR INCREASED EXPENSES, OR BUSINESS INTERRUPTION) ARISING OUT OF OR RELATED TO THE PERFORMANCE OR NON PERFORMANCE OF THIS AGREEMENT UNLESS THE DAMAGES AROSE DUE TO A PARTY'S GROSS NEGLIGENCE OR WILLFUL BREACH OF THIS AGREEMENT.",high,Original Corporate,Uncapped Liability,False
The Employee shall not engage in any competing business during the term of employment within a 5 km radius of the office.,low,Employment,Non-Compete,True
Distributor shall only distribute or sell the Products to customers who are licensed health care professionals and meet the other requirements set forth in Exhibit B.,low,Original Corporate,License Grant,False
"If termination occurs after the Effective Date but before the second anniversary of the Opening Date, you will pay us Liquidated Damages in an amount equal to $3,600 multiplied by the number of approved Guest Rooms at the Hotel.",high,Original Corporate,Liquidated Damages,False
Either party may terminate this Agreement by giving the other party at least 15 days written notice.,low,Rental,Termination,True
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
Distributor shall not sell or export the Products outside the United States without prior written consent of Erchonia.,low,Original Corporate,License Grant,False
The Borrower shall repay the loan at an interest rate of 15% per annum. Late payments shall attract a grace period of 7 days.,low,Loan,Interest & Penalties,True
"This Agreement can be terminated at any time prior to the expiry of the Term, as follows:",high,Original Corporate,Change Of Control,False
Should MD Anderson terminate this Agreement in accordance with this Section 8.6 then the Parties will use reasonable efforts to ensure that any Clinical Study in relation to which any patient has been screened or enrolled shall continue under a separate clinical trial agreement to be entered into between the Parties as soon as possible after receipt of notice of termination by Adaptimmune.,high,Original Corporate,Post-Termination Services,False
"The Tenant shall pay a refundable security deposit of INR 59,000 before taking possession. The deposit shall be returned within 15 days after the tenancy ends, subject only to deductions for actual physical damage.",low,Rental,Security Deposit,True
"Notwithstanding the foregoing, if Company elects to abandon any patent application, to not pay maintenance fees or annuities to keep a patent in force, or to otherwise take or fail to take any action that will result in a loss of patent rights, Company shall give Investor at least sixty (60) days prior written notice and an opportunity to take over the prosecution of the patent application that would be abandoned and/or pay the fees necessary to keep the patent in force and/or take any other action necessary to avoid the loss of patent rights.",high,Original Corporate,Rofr/Rofo/Rofn,False
"Assignor does hereby irrevocably sell, convey, grant, set over, assign and transfer to Assignee, without reservation of any rights, title or interest, all of Assignor's right, title and interest in and to the Assigned Patents, all rights corresponding to the Assigned Patents throughout the world, and all continuations, continuations-in-part, divisions or renewals thereof, all patents that may be granted therefrom, all reissues, re-exams, or extensions of such patents, and in and to any applications that have been or shall be filed in any country, and all patents or utility models of countries that may be granted therefrom, for its own use and enjoyment, and for the use and enjoyment of any of Assignee's successors and assigns, as the





same would have been held and enjoyed by Assignor if this Assignment had not been made, together with any and all claims or causes of infringement thereof that may have accrued prior to the effective date of this Assignment, together with the right to bring suit for and/or initiate any proceeding to collect any and all damages arising from said claims or causes of action.",high,Original Corporate,Ip Ownership Assignment,False
"(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")",low,Original Corporate,Parties,False
Cable & Wireless Global Network Limited,low,Original Corporate,Parties,False
"Thereafter (and for the remainder of the Term), Fox shall earn and Licensee shall pay to Fox Royalties at the rate of ***** percent (*****%) of Licensee's gross receipts from Licensee's sale, license, distribution or other exploitation of the Wireless Products derived from the respective Targeted Release.",medium,Original Corporate,Revenue/Profit Sharing,False
"Each Party waives any right to recover consequential, incidental, indirect, exemplary, punitive or any other types of indirect damages from the other Party for a breach of this Agreement.",high,Original Corporate,Cap On Liability,False
"Distributor shall not dispute or contest for any reason whatsoever, directly or indirectly, during the term of this Agreement and thereafter, the validity, ownership or enforceability of any of the trademarks of Company, nor directly or indirectly attempt to acquire or damage the value of the goodwill associated with any of the trademarks of Company, nor counsel, procure or assist any third Party to do any of the foregoing",medium,Original Corporate,Covenant Not To Sue,False
PcoMed's conversion right is PcoMed's sole and exclusive remedy for Integra's failure to satisfy the Minimum Payment for any Minimum Payment Period.,high,Original Corporate,Minimum Commitment,False
"Should you, for any reason, fail to procure or maintain the insurance required by this Agreement, as such requirements may be revised from time to time by us in writing, we shall have the right and authority (without, however, any obligation to do so) immediately to procure such insurance and to charge same to you, which charges shall be payable by you immediately upon notice together with a ten percent (10%) administrative fee.",medium,Original Corporate,Insurance,False
Nothing in this Paragraph 8.02(a)(2) will create an obligation on the part of FCE to grant ExxonMobil a license or right under FCE Background Patents or FCE Background Information if the Parties do not agree on the terms and conditions of such license.,low,Original Corporate,License Grant,False
"This Agreement shall terminate (a) at the option of any party, upon 90 days' advance written notice to the other parties hereto;",high,Original Corporate,Termination For Convenience,False
"Party B shall provide the Driver User with long-term and stable rental sources and the most favorable financial leasing scheme, complete the vehicle leasing transactions with the Driver User through the Platform, and provide the Driver User with high-quality financial leasing services.",low,Original Corporate,Most Favored Nation,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
PCQ agrees to allow ABW to co-brand the PCQ SOFTWARE in order to provide a value added service on ABW's World Wide Web site.,low,Original Corporate,License Grant,False
The         Escrow Agent shall require Commerce One to place in an,medium,Original Corporate,Source Code Escrow,False
Licensor's affiliates may enforce all rights and licenses granted to Licensor under this Agreement directly against Licensee.,high,Original Corporate,Affiliate License-Licensor,True
We will have the right to terminate the Ad Fund by giving you thirty (30) days' advance written notice.,high,Original Corporate,Termination For Convenience,False
"Physician Sales & Service, Inc.",low,Original Corporate,Parties,False
Such audits may be conducted upon reasonable notice during the term of this Agreement and for [***] thereafter.,medium,Original Corporate,Audit Rights,False
"This Agreement shall be construed and enforced in accordance with the laws of the State of California, without regard to the conflict of law principles of California or any other jurisdiction.",low,Original Corporate,Governing Law,False
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL  BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR  RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES",high,Original Corporate,Cap On Liability,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
Cooperation Agreement (2014 Amendment),low,Original Corporate,Document Name,False
"Dr. Murray has unique qualifications to provide the services contemplated herein, and shall not assign any of its or his rights or obligations to any other person or entity without EHS's written consent, which may be withheld or granted in EHS's discretion.",high,Original Corporate,Anti-Assignment,False
This Agreement shall be governed by and construed in accordance with the laws of the State of California exclusive of its conflict of laws principles.,high,Original Corporate,Governing Law,False
"Except as provided herein, no member of the Skype Group or the Group may in any manner",medium,Original Corporate,Non-Transferable License,False
El Banco Financial Corporation,low,Original Corporate,Parties,False
